Date,T+ 10min (12:00),T+ 1/2 (12:30),T- 10min (1:00),mean,rate
1/19/2022,45,44,47,45.3,0.31
1/24/2022,44,46,45,45.0,0.31
1/26/2022,47,50,49,48.7,0.34
1/31/2022,46,48,48,47.3,0.33
2/2/2022,42,45,44,43.7,0.30
2/7/2022,44,47,47,46.0,0.32
2/9/2022,45,50,49,48.0,0.33
2/7/2022,42,43,41,42.0,0.29
2/9/2022,44,59,57,53.3,0.37
2/14/2022,51,54,52,52.3,0.36
2/16/2022,41,52,53,48.7,0.34
2/21/2022,55,57,51,54.3,0.37
2/23/2022,43,58,41,47.3,0.33
2/28/2022,41,54,42,45.7,0.31
3/2/2022,51,44,44,46.3,0.32
3/14/2022,51,57,45,51.0,0.35
3/16/2022,51,47,53,50.3,0.35
3/21/2022,40,43,52,45.0,0.31
3/23/2022,48,50,45,47.7,0.33
3/28/2022,49,54,53,52.0,0.36