"Report Date","Confirmed Case Count","Cumulative Cases","Seven-day Average"
2020-03-06,1,1,0.1
2020-03-07,0,1,0.1
2020-03-08,0,1,0.1
2020-03-09,1,2,0.3
2020-03-10,0,2,0.3
2020-03-11,1,3,0.4
2020-03-12,1,4,0.6
2020-03-13,5,9,1.1
2020-03-14,5,14,1.9
2020-03-15,12,26,3.6
2020-03-16,12,38,5.1
2020-03-17,14,52,7.1
2020-03-18,9,61,8.3
2020-03-19,34,95,13
2020-03-20,26,121,16
2020-03-21,22,143,18.4
2020-03-22,82,225,28.4
2020-03-23,31,256,31.1
2020-03-24,68,324,38.9
2020-03-25,40,364,43.3
2020-03-26,86,450,50.7
2020-03-27,124,574,64.7
2020-03-28,115,689,78
2020-03-29,100,789,80.6
2020-03-30,113,902,92.3
2020-03-31,82,984,94.3
2020-04-01,81,1065,100.1
2020-04-02,203,1268,116.9
2020-04-03,157,1425,121.6
2020-04-04,167,1592,129
2020-04-05,73,1665,125.1
2020-04-06,66,1731,118.4
2020-04-07,83,1814,118.6
2020-04-08,150,1964,128.4
2020-04-09,125,2089,117.3
2020-04-10,120,2209,112
2020-04-11,100,2309,102.4
2020-04-12,59,2368,100.4
2020-04-13,47,2415,97.7
2020-04-14,122,2537,103.3
2020-04-15,137,2674,101.4
2020-04-16,130,2804,102.1
2020-04-17,135,2939,104.3
2020-04-18,132,3071,108.9
2020-04-19,148,3219,121.6
2020-04-20,89,3308,127.6
2020-04-21,138,3446,129.9
2020-04-22,161,3607,133.3
2020-04-23,156,3763,137
2020-04-24,181,3944,143.6
2020-04-25,182,4126,150.7
2020-04-26,110,4236,145.3
2020-04-27,95,4331,146.1
2020-04-28,147,4478,147.4
2020-04-29,175,4653,149.4
2020-04-30,156,4809,149.4
2020-05-01,157,4966,146
2020-05-02,187,5153,146.7
2020-05-03,133,5286,150
2020-05-04,129,5415,154.9
2020-05-05,155,5570,156
2020-05-06,128,5698,149.3
2020-05-07,194,5892,154.7
2020-05-08,185,6077,158.7
2020-05-09,151,6228,153.6
2020-05-10,116,6344,151.1
2020-05-11,73,6417,143.1
2020-05-12,183,6600,147.1
2020-05-13,129,6729,147.3
2020-05-14,164,6893,143
2020-05-15,153,7046,138.4
2020-05-16,172,7218,141.4
2020-05-17,148,7366,146
2020-05-18,137,7503,155.1
2020-05-19,199,7702,157.4
2020-05-20,160,7862,161.9
2020-05-21,194,8056,166.1
2020-05-22,183,8239,170.4
2020-05-23,140,8379,165.9
2020-05-24,131,8510,163.4
2020-05-25,95,8605,157.4
2020-05-26,85,8690,141.1
2020-05-27,237,8927,152.1
2020-05-28,333,9260,172
2020-05-29,277,9537,185.4
2020-05-30,272,9809,204.3
2020-05-31,207,10016,215.1
2020-06-01,202,10218,230.4
2020-06-02,281,10499,258.4
2020-06-03,312,10811,269.1
2020-06-04,448,11259,285.6
2020-06-05,546,11805,324
2020-06-06,278,12083,324.9
2020-06-07,283,12366,335.7
2020-06-08,196,12562,334.9
2020-06-09,312,12874,339.3
2020-06-10,372,13246,347.9
2020-06-11,336,13582,331.9
2020-06-12,402,13984,311.3
2020-06-13,340,14324,320.1
2020-06-14,303,14627,323
2020-06-15,318,14945,340.4
2020-06-16,422,15367,356.1
2020-06-17,487,15854,372.6
2020-06-18,604,16458,410.9
2020-06-19,648,17106,446
2020-06-20,413,17519,456.4
2020-06-21,453,17972,477.9
2020-06-22,366,18338,484.7
2020-06-23,490,18828,494.4
2020-06-24,603,19431,511
2020-06-25,653,20084,518
2020-06-26,569,20653,506.7
2020-06-27,497,21150,518.7
2020-06-28,598,21748,539.4
2020-06-29,535,22283,563.6
2020-06-30,515,22798,567.1
2020-07-01,568,23366,562.1
2020-07-02,624,23990,558
2020-07-03,679,24669,573.7
2020-07-04,411,25080,561.4
2020-07-05,535,25615,552.4
2020-07-06,586,26201,559.7
2020-07-07,751,26952,593.4
2020-07-08,627,27579,601.9
2020-07-09,876,28455,637.9
2020-07-10,625,29080,630.1
2020-07-11,644,29724,663.4
2020-07-12,591,30315,671.4
2020-07-13,478,30793,656
2020-07-14,461,31254,614.6
2020-07-15,709,31963,626.3
2020-07-16,747,32710,607.9
2020-07-17,742,33452,624.6
2020-07-18,803,34255,647.3
2020-07-19,412,34667,621.7
2020-07-20,447,35114,617.3
2020-07-21,556,35670,630.9
2020-07-22,511,36181,602.6
2020-07-23,870,37051,620.1
2020-07-24,668,37719,609.6
2020-07-25,358,38077,546
2020-07-26,435,38512,549.3
2020-07-27,423,38935,545.9
2020-07-28,340,39275,515
2020-07-29,496,39771,512.9
2020-07-30,507,40278,461
2020-07-31,492,40770,435.9
2020-08-01,481,41251,453.4
2020-08-02,341,41592,440
2020-08-03,370,41962,432.4
2020-08-04,412,42374,442.7
2020-08-05,578,42952,454.4
2020-08-06,453,43405,446.7
2020-08-07,384,43789,431.3
2020-08-08,381,44170,417
2020-08-09,272,44442,407.1
2020-08-10,352,44794,404.6
2020-08-11,321,45115,391.6
2020-08-12,334,45449,356.7
2020-08-13,558,46007,371.7
2020-08-14,357,46364,367.9
2020-08-15,339,46703,361.9
2020-08-16,239,46942,357.1
2020-08-17,262,47204,344.3
2020-08-18,364,47568,350.4
2020-08-19,458,48026,368.1
2020-08-20,483,48509,357.4
2020-08-21,375,48884,360
2020-08-22,298,49182,354.1
2020-08-23,249,49431,355.6
2020-08-24,402,49833,375.6
2020-08-25,413,50246,382.6
2020-08-26,387,50633,372.4
2020-08-27,391,51024,359.3
2020-08-28,473,51497,373.3
2020-08-29,463,51960,396.9
2020-08-30,256,52216,397.9
2020-08-31,289,52505,381.7
2020-09-01,422,52927,383
2020-09-02,514,53441,401.1
2020-09-03,507,53948,417.7
2020-09-04,453,54401,414.9
2020-09-05,403,54804,406.3
2020-09-06,341,55145,418.4
2020-09-07,316,55461,422.3
2020-09-08,313,55774,406.7
2020-09-09,388,56162,388.7
2020-09-10,680,56842,413.4
2020-09-11,589,57431,432.9
2020-09-12,656,58087,469
2020-09-13,557,58644,499.9
2020-09-14,580,59224,537.6
2020-09-15,747,59971,599.6
2020-09-16,918,60889,675.3
2020-09-17,1123,62012,738.6
2020-09-18,1092,63104,810.4
2020-09-19,919,64023,848
2020-09-20,641,64664,860
2020-09-21,636,65300,868
2020-09-22,895,66195,889.1
2020-09-23,1236,67431,934.6
2020-09-24,1434,68865,979
2020-09-25,1031,69896,970.3
2020-09-26,1078,70974,993
2020-09-27,886,71860,1028
2020-09-28,664,72524,1032
2020-09-29,925,73449,1036.3
2020-09-30,1003,74452,1003
2020-10-01,1131,75583,959.7
2020-10-02,1102,76685,969.9
2020-10-03,1391,78076,1014.6
2020-10-04,1085,79161,1043
2020-10-05,739,79900,1053.7
2020-10-06,995,80895,1063.7
2020-10-07,1511,82406,1136.3
2020-10-08,1368,83774,1170.1
2020-10-09,1373,85147,1208.9
2020-10-10,1218,86365,1184.1
2020-10-11,994,87359,1171.1
2020-10-12,960,88319,1202.7
2020-10-13,1149,89468,1224.7
2020-10-14,1516,90984,1225.4
2020-10-15,1524,92508,1247.7
2020-10-16,1333,93841,1242
2020-10-17,1125,94966,1228.7
2020-10-18,1180,96146,1255.3
2020-10-19,1056,97202,1269
2020-10-20,1299,98501,1290.4
2020-10-21,1652,100153,1309.9
2020-10-22,2020,102173,1380.7
2020-10-23,1634,103807,1423.7
2020-10-24,1827,105634,1524
2020-10-25,1176,106810,1523.4
2020-10-26,1134,107944,1534.6
2020-10-27,1590,109534,1576.1
2020-10-28,1860,111394,1605.9
2020-10-29,2393,113787,1659.1
2020-10-30,1727,115514,1672.4
2020-10-31,1874,117388,1679.1
2020-11-01,1209,118597,1683.9
2020-11-02,1686,120283,1762.7
2020-11-03,2135,122418,1840.6
2020-11-04,2844,125262,1981.1
2020-11-05,3047,128309,2074.6
2020-11-06,3007,131316,2257.4
2020-11-07,2454,133770,2340.3
2020-11-08,2248,136018,2488.7
2020-11-09,2439,138457,2596.3
2020-11-10,2318,140775,2622.4
2020-11-11,4001,144776,2787.7
2020-11-12,3442,148218,2844.1
2020-11-13,4120,152338,3003.1
2020-11-14,2664,155002,3033.1
2020-11-15,1989,156991,2996.1
2020-11-16,3188,160179,3103.1
2020-11-17,3004,163183,3201.1
2020-11-18,4006,167189,3201.9
2020-11-19,4643,171832,3373.4
2020-11-20,3402,175234,3270.9
2020-11-21,3283,178517,3359.3
2020-11-22,2223,180740,3392.7
2020-11-23,2670,183410,3318.7
2020-11-24,1784,185194,3144.4
2020-11-25,3889,189083,3127.7
2020-11-26,2305,191388,2793.7
2020-11-27,2077,193465,2604.4
2020-11-28,1744,195209,2384.6
2020-11-29,1920,197129,2341.3
2020-11-30,2534,199663,2321.9
2020-12-01,4048,203711,2645.3
2020-12-02,3943,207654,2653
2020-12-03,2998,210652,2752
2020-12-04,3708,214360,2985
2020-12-05,2600,216960,3107.3
2020-12-06,2211,219171,3148.9
2020-12-07,2328,221499,3119.4
2020-12-08,2574,224073,2908.9
2020-12-09,3428,227501,2835.3
2020-12-10,3201,230702,2864.3
2020-12-11,2711,233413,2721.9
2020-12-12,2096,235509,2649.9
2020-12-13,1963,237472,2614.4
2020-12-14,1934,239406,2558.1
2020-12-15,3037,242443,2624.3
2020-12-16,3212,245655,2593.4
2020-12-17,2684,248339,2519.6
2020-12-18,2431,250770,2479.6
2020-12-19,2014,252784,2467.9
2020-12-20,1803,254587,2445
2020-12-21,2285,256872,2495.1
2020-12-22,2654,259526,2440.4
2020-12-23,2925,262451,2399.4
2020-12-24,2547,264998,2379.9
2020-12-25,991,265989,2174.1
2020-12-26,815,266804,2002.9
2020-12-27,1711,268515,1989.7
2020-12-28,2752,271267,2056.4
2020-12-29,2631,273898,2053.1
2020-12-30,4706,278604,2307.6
2020-12-31,3123,281727,2389.9
2021-01-01,1956,283683,2527.7
2021-01-02,1846,285529,2675
2021-01-03,2173,287702,2741
2021-01-04,3390,291092,2832.1
2021-01-05,3820,294912,3002
2021-01-06,4624,299536,2990.3
2021-01-07,3842,303378,3093
2021-01-08,2630,306008,3189.3
2021-01-09,2325,308333,3257.7
2021-01-10,1474,309807,3157.9
2021-01-11,2149,311956,2980.6
2021-01-12,2918,314874,2851.7
2021-01-13,2757,317631,2585
2021-01-14,2424,320055,2382.4
2021-01-15,2159,322214,2315.1
2021-01-16,1581,323795,2208.9
2021-01-17,1072,324867,2151.4
2021-01-18,1308,326175,2031.3
2021-01-19,2152,328327,1921.9
2021-01-20,2094,330421,1827.1
2021-01-21,2640,333061,1858
2021-01-22,1764,334825,1801.6
2021-01-23,1507,336332,1791
2021-01-24,851,337183,1759.4
2021-01-25,1417,338600,1775
2021-01-26,2014,340614,1755.3
2021-01-27,1766,342380,1708.4
2021-01-28,1510,343890,1547
2021-01-29,1480,345370,1506.4
2021-01-30,1190,346560,1461.1
2021-01-31,585,347145,1423.1
2021-02-01,1200,348345,1392.1
2021-02-02,1591,349936,1331.7
2021-02-03,1273,351209,1261.3
2021-02-04,1223,352432,1220.3
2021-02-05,1208,353640,1181.4
2021-02-06,913,354553,1141.9
2021-02-07,514,355067,1131.7
2021-02-08,930,355997,1093.1
2021-02-09,1304,357301,1052.1
2021-02-10,1250,358551,1048.9
2021-02-11,1042,359593,1023
2021-02-12,943,360536,985.1
2021-02-13,711,361247,956.3
2021-02-14,463,361710,949
2021-02-15,581,362291,899.1
2021-02-16,897,363188,841
2021-02-17,1147,364335,826.3
2021-02-18,858,365193,800
2021-02-19,783,365976,777.1
2021-02-20,705,366681,776.3
2021-02-21,334,367015,757.9
2021-02-22,714,367729,776.9
2021-02-23,823,368552,766.3
2021-02-24,833,369385,721.4
2021-02-25,655,370040,692.4
2021-02-26,687,370727,678.7
2021-02-27,465,371192,644.4
2021-02-28,263,371455,634.3
2021-03-01,483,371938,601.3
2021-03-02,723,372661,587
2021-03-03,618,373279,556.3
2021-03-04,553,373832,541.7
2021-03-05,560,374392,523.6
2021-03-06,415,374807,516.4
2021-03-07,253,375060,515
2021-03-08,558,375618,525.7
2021-03-09,654,376272,515.9
2021-03-10,662,376934,522.1
2021-03-11,521,377455,517.6
2021-03-12,494,377949,508.1
2021-03-13,398,378347,505.7
2021-03-14,221,378568,501.1
2021-03-15,484,379052,490.6
2021-03-16,695,379747,496.4
2021-03-17,566,380313,482.7
2021-03-18,447,380760,472.1
2021-03-19,457,381217,466.9
2021-03-20,371,381588,463
2021-03-21,162,381750,454.6
2021-03-22,386,382136,440.6
2021-03-23,566,382702,422.1
2021-03-24,531,383233,417.1
2021-03-25,450,383683,417.6
2021-03-26,453,384136,417
2021-03-27,387,384523,419.3
2021-03-28,191,384714,423.4
2021-03-29,370,385084,421.1
2021-03-30,521,385605,414.7
2021-03-31,495,386100,409.6
2021-04-01,425,386525,406
2021-04-02,447,386972,405.1
2021-04-03,343,387315,398.9
2021-04-04,173,387488,396.3
2021-04-05,306,387794,387.1
2021-04-06,612,388406,400.1
2021-04-07,485,388891,398.7
2021-04-08,443,389334,401.3
2021-04-09,404,389738,395.1
2021-04-10,344,390082,395.3
2021-04-11,184,390266,396.9
2021-04-12,361,390627,404.7
2021-04-13,532,391159,393.3
2021-04-14,453,391612,388.7
2021-04-15,466,392078,392
2021-04-16,411,392489,393
2021-04-17,244,392733,378.7
2021-04-18,199,392932,380.9
2021-04-19,314,393246,374.1
2021-04-20,592,393838,382.7
2021-04-21,464,394302,384.3
2021-04-22,348,394650,367.4
2021-04-23,466,395116,375.3
2021-04-24,280,395396,380.4
2021-04-25,246,395642,387.1
2021-04-26,330,395972,389.4
2021-04-27,525,396497,379.9
2021-04-28,459,396956,379.1
2021-04-29,342,397298,378.3
2021-04-30,409,397707,370.1
2021-05-01,277,397984,369.7
2021-05-02,227,398211,367
2021-05-03,261,398472,357.1
2021-05-04,480,398952,350.7
2021-05-05,397,399349,341.9
2021-05-06,384,399733,347.9
2021-05-07,361,400094,341
2021-05-08,232,400326,334.6
2021-05-09,208,400534,331.9
2021-05-10,219,400753,325.9
2021-05-11,463,401216,323.4
2021-05-12,416,401632,326.1
2021-05-13,344,401976,320.4
2021-05-14,320,402296,314.6
2021-05-15,247,402543,316.7
2021-05-16,170,402713,311.3
2021-05-17,255,402968,316.4
2021-05-18,427,403395,311.3
2021-05-19,265,403660,289.7
2021-05-20,298,403958,283.1
2021-05-21,260,404218,274.6
2021-05-22,224,404442,271.3
2021-05-23,148,404590,268.1
2021-05-24,189,404779,258.7
2021-05-25,277,405056,237.3
2021-05-26,307,405363,243.3
2021-05-27,275,405638,240
2021-05-28,198,405836,231.1
2021-05-29,170,406006,223.4
2021-05-30,140,406146,222.3
2021-05-31,113,406259,211.4
2021-06-01,204,406463,201
2021-06-02,338,406801,205.4
2021-06-03,287,407088,207.1
2021-06-04,306,407394,222.6
2021-06-05,220,407614,229.7
2021-06-06,174,407788,234.6
2021-06-07,251,408039,254.3
2021-06-08,368,408407,277.7
2021-06-09,317,408724,274.7
2021-06-10,265,408989,271.6
2021-06-11,356,409345,278.7
2021-06-12,190,409535,274.4
2021-06-13,169,409704,273.7
2021-06-14,239,409943,272
2021-06-15,412,410355,278.3
2021-06-16,371,410726,286
2021-06-17,323,411049,294.3
2021-06-18,288,411337,284.6
2021-06-19,252,411589,293.4
2021-06-20,161,411750,292.3
2021-06-21,253,412003,294.3
2021-06-22,523,412526,310.1
2021-06-23,458,412984,322.6
2021-06-24,311,413295,320.9
2021-06-25,351,413646,329.9
2021-06-26,280,413926,333.9
2021-06-27,252,414178,346.9
2021-06-28,373,414551,364
2021-06-29,565,415116,370
2021-06-30,542,415658,382
2021-07-01,436,416094,399.9
2021-07-02,478,416572,418
2021-07-03,348,416920,427.7
2021-07-04,161,417081,414.7
2021-07-05,164,417245,384.9
2021-07-06,393,417638,360.3
2021-07-07,671,418309,378.7
2021-07-08,649,418958,409.1
2021-07-09,458,419416,406.3
2021-07-10,483,419899,425.6
2021-07-11,261,420160,439.9
2021-07-12,480,420640,485
2021-07-13,600,421240,514.6
2021-07-14,692,421932,517.6
2021-07-15,681,422613,522.1
2021-07-16,624,423237,545.9
2021-07-17,514,423751,550.3
2021-07-18,403,424154,570.6
2021-07-19,566,424720,582.9
2021-07-20,866,425586,620.9
2021-07-21,816,426402,638.6
2021-07-22,767,427169,650.9
2021-07-23,668,427837,657.1
2021-07-24,504,428341,655.7
2021-07-25,331,428672,645.4
2021-07-26,613,429285,652.1
2021-07-27,839,430124,648.3
2021-07-28,1109,431233,690.1
2021-07-29,1215,432448,754.1
2021-07-30,955,433403,795.1
2021-07-31,787,434190,835.6
2021-08-01,498,434688,859.4
2021-08-02,734,435422,876.7
2021-08-03,1049,436471,906.7
2021-08-04,1096,437567,904.9
2021-08-05,895,438462,859.1
2021-08-06,947,439409,858
2021-08-07,660,440069,839.9
2021-08-08,402,440471,826.1
2021-08-09,635,441106,812
2021-08-10,1109,442215,820.6
2021-08-11,1242,443457,841.4
2021-08-12,885,444342,840
2021-08-13,1137,445479,867.1
2021-08-14,881,446360,898.7
2021-08-15,418,446778,901
2021-08-16,971,447749,949
2021-08-17,1484,449233,1002.6
2021-08-18,1282,450515,1008.3
2021-08-19,1122,451637,1042.1
2021-08-20,1216,452853,1053.4
2021-08-21,860,453713,1050.4
2021-08-22,646,454359,1083
2021-08-23,1139,455498,1107
2021-08-24,1581,457079,1120.9
2021-08-25,1492,458571,1150.9
2021-08-26,1298,459869,1176
2021-08-27,1598,461467,1230.6
2021-08-28,1121,462588,1267.9
2021-08-29,597,463185,1260.9
2021-08-30,1221,464406,1272.6
2021-08-31,1677,466083,1286.3
2021-09-01,1689,467772,1314.4
2021-09-02,1627,469399,1361.4
2021-09-03,1870,471269,1400.3
2021-09-04,1185,472454,1409.4
2021-09-05,916,473370,1455
2021-09-06,707,474077,1381.6
2021-09-07,1533,475610,1361
2021-09-08,2164,477774,1428.9
2021-09-09,2189,479963,1509.1
2021-09-10,1843,481806,1505.3
2021-09-11,1358,483164,1530
2021-09-12,1020,484184,1544.9
2021-09-13,1267,485451,1624.9
2021-09-14,1880,487331,1674.4
2021-09-15,1884,489215,1634.4
2021-09-16,1752,490967,1572
2021-09-17,1369,492336,1504.3
2021-09-18,1124,493460,1470.9
2021-09-19,896,494356,1453.1
2021-09-20,1332,495688,1462.4
2021-09-21,1716,497404,1439
2021-09-22,1608,499012,1399.6
2021-09-23,1671,500683,1388
2021-09-24,1360,502043,1386.7
2021-09-25,1027,503070,1372.9
2021-09-26,794,503864,1358.3
2021-09-27,1123,504987,1328.4
2021-09-28,1794,506781,1339.6
2021-09-29,1696,508477,1352.1
2021-09-30,1721,510198,1359.3
2021-10-01,1369,511567,1360.6
2021-10-02,1078,512645,1367.9
2021-10-03,843,513488,1374.9
2021-10-04,1255,514743,1393.7
2021-10-05,1972,516715,1419.1
2021-10-06,1750,518465,1426.9
2021-10-07,1655,520120,1417.4
2021-10-08,1245,521365,1399.7
2021-10-09,858,522223,1368.3
2021-10-10,1223,523446,1422.6
2021-10-11,1095,524541,1399.7
2021-10-12,1825,526366,1378.7
2021-10-13,1240,527606,1305.9
2021-10-14,1504,529110,1284.3
2021-10-15,1322,530432,1295.3
2021-10-16,1090,531522,1328.4
2021-10-17,631,532153,1243.9
2021-10-18,1350,533503,1280.3
2021-10-19,1378,534881,1216.4
2021-10-20,2343,537224,1374
2021-10-21,1640,538864,1393.4
2021-10-22,1673,540537,1443.6
2021-10-23,1248,541785,1466.1
2021-10-24,727,542512,1479.9
2021-10-25,1626,544138,1519.3
2021-10-26,2037,546175,1613.4
2021-10-27,1833,548008,1540.6
2021-10-28,1810,549818,1564.9
2021-10-29,1613,551431,1556.3
2021-10-30,636,552067,1468.9
2021-10-31,966,553033,1503
2021-11-01,1271,554304,1452.3
2021-11-02,2116,556420,1463.6
2021-11-03,2257,558677,1524.1
2021-11-04,1878,560555,1533.9
2021-11-05,2021,562576,1592.1
2021-11-06,806,563382,1616.4
2021-11-07,1206,564588,1650.7
2021-11-08,1544,566132,1689.7
2021-11-09,1544,567676,1608
2021-11-10,2077,569753,1582.3
2021-11-11,1774,571527,1567.4
2021-11-12,2036,573563,1569.6
2021-11-13,1308,574871,1641.3
2021-11-14,1150,576021,1633.3
2021-11-15,1260,577281,1592.7
2021-11-16,2097,579378,1671.7
2021-11-17,1793,581171,1631.1
2021-11-18,1767,582938,1630.1
2021-11-19,1575,584513,1564.3
2021-11-20,1223,585736,1552.1
2021-11-21,1038,586774,1536.1
2021-11-22,1161,587935,1522
2021-11-23,1758,589693,1473.6
2021-11-24,1554,591247,1439.4
2021-11-25,885,592132,1313.4
2021-11-26,558,592690,1168.1
2021-11-27,1014,593704,1138.3
2021-11-28,903,594607,1119
2021-11-29,1186,595793,1122.6
2021-11-30,2296,598089,1199.4
2021-12-01,1971,600060,1259
2021-12-02,1881,601941,1401.3
2021-12-03,1428,603369,1525.6
2021-12-04,1166,604535,1547.3
2021-12-05,908,605443,1548
2021-12-06,1120,606563,1538.6
2021-12-07,1422,607985,1413.7
2021-12-08,1376,609361,1328.7
2021-12-09,1329,610690,1249.9
2021-12-10,1083,611773,1200.6
2021-12-11,874,612647,1158.9
2021-12-12,745,613392,1135.6
2021-12-13,904,614296,1104.7
2021-12-14,1282,615578,1084.7
2021-12-15,1115,616693,1047.4
2021-12-16,1021,617714,1003.4
2021-12-17,910,618624,978.7
2021-12-18,866,619490,977.6
2021-12-19,758,620248,979.4
2021-12-20,805,621053,965.3
2021-12-21,1383,622436,979.7
2021-12-22,1271,623707,1002
2021-12-23,1479,625186,1067.4
2021-12-24,1307,626493,1124.1
2021-12-25,1215,627708,1174
2021-12-26,621,628329,1154.4
2021-12-27,1779,630108,1293.6
2021-12-28,3244,633352,1559.4
2021-12-29,3556,636908,1885.9
2021-12-30,4649,641557,2338.7
2021-12-31,3789,645346,2693.3
2022-01-01,3230,648576,2981.1
2022-01-02,3068,651644,3330.7
2022-01-03,4573,656217,3729.9
2022-01-04,7096,663313,4280.1
2022-01-05,8872,672185,5039.6
2022-01-06,9295,681480,5703.3
2022-01-07,9312,690792,6492.3
2022-01-08,8429,699221,7235
2022-01-09,6263,705484,7691.4
2022-01-10,10049,715533,8473.7
2022-01-11,10340,725873,8937.1
2022-01-12,13034,738907,9531.7
2022-01-13,11190,750097,9802.4
2022-01-14,13520,763617,10403.6
2022-01-15,10070,773687,10638
2022-01-16,6325,780012,10646.9
2022-01-17,9903,789915,10626
2022-01-18,12565,802480,10943.9
2022-01-19,11595,814075,10738.3
2022-01-20,11600,825675,10796.9
2022-01-21,10591,836266,10378.4
2022-01-22,6834,843100,9916.1
2022-01-23,4543,847643,9661.6
2022-01-24,6604,854247,9190.3
2022-01-25,7460,861707,8461
2022-01-26,6980,868687,7801.7
2022-01-27,6159,874846,7024.4
2022-01-28,4791,879637,6195.9
2022-01-29,3197,882834,5676.3
2022-01-30,2312,885146,5357.6
2022-01-31,2830,887976,4818.4
2022-02-01,3612,891588,4268.7
2022-02-02,3458,895046,3765.6
2022-02-03,2799,897845,3285.6
2022-02-04,2500,900345,2958.3
2022-02-05,1721,902066,2747.4
2022-02-06,1317,903383,2605.3
2022-02-07,1343,904726,2392.9
2022-02-08,2019,906745,2165.3
2022-02-09,1959,908704,1951.1
2022-02-10,1789,910493,1806.9
2022-02-11,1349,911842,1642.4
2022-02-12,1116,912958,1556
2022-02-13,654,913612,1461.3
2022-02-14,767,914379,1379
2022-02-15,1408,915787,1291.7
2022-02-16,1025,916812,1158.3
2022-02-17,1031,917843,1050
2022-02-18,843,918686,977.7
2022-02-19,564,919250,898.9
2022-02-20,376,919626,859.1
2022-02-21,313,919939,794.3
2022-02-22,660,920599,687.4
2022-02-23,663,921262,635.7
2022-02-24,477,921739,556.6
2022-02-25,424,922163,496.7
2022-02-26,332,922495,463.6
2022-02-27,174,922669,434.7
2022-02-28,297,922966,432.4
2022-03-01,451,923417,402.6
2022-03-02,404,923821,365.6
2022-03-03,271,924092,336.1
2022-03-04,235,924327,309.1
2022-03-05,204,924531,290.9
2022-03-06,100,924631,280.3
2022-03-07,138,924769,257.6
2022-03-08,218,924987,224.3
2022-03-09,205,925192,195.9
2022-03-10,246,925438,192.3
2022-03-11,163,925601,182
2022-03-12,124,925725,170.6
2022-03-13,82,925807,168
2022-03-14,121,925928,165.6
2022-03-15,185,926113,160.9
2022-03-16,171,926284,156
2022-03-17,121,926405,138.1
2022-03-18,173,926578,139.6
2022-03-19,102,926680,136.4
2022-03-20,67,926747,134.3
2022-03-21,119,926866,134
2022-03-22,125,926991,125.4
2022-03-23,160,927151,123.9
2022-03-24,145,927296,127.3
