date_2,mean_daily_atd_rate,temp_6am,temp_6pm,mean_daily_temp,daily_confirmed_case_count,confirmed_case_count_7d_avg,positive_test_rate_7d_avg
1/18/2022,0.28,27,34,30.5,12565,10943.9,29.77
1/19/2022,0.28,28,35,31.5,11595,10738.3,29.62
1/20/2022,0.26,24,37,30.5,11600,10796.9,29.81
1/24/2022,0.56,23,42,32.5,6604,9190.3,27.74
1/25/2022,0.24,30,35,32.5,7460,8461,26.86
1/26/2022,0.53,22,36,29,6980,7801.7,25.96
1/27/2022,0.25,22,31,26.5,6159,7024.4,24.85
1/31/2022,0.44,26,38,32,2830,4818.4,21.42
2/1/2022,0.25,21,29,25,3612,4268.7,20.34
2/2/2022,0.46,22,25,23.5,3458,3765.6,19.79
2/3/2022,0.28,17,25,21,2799,3285.6,19.35
2/7/2022,0.43,24,40,32,1343,2392.9,18.01
2/8/2022,0.36,28,41,34.5,2019,2165.3,17.74
2/9/2022,0.45,33,44,38.5,1959,1951.1,17.24
2/10/2022,0.26,31,46,38.5,1789,1806.9,16.61
2/14/2022,0.46,33,57,45,767,1379,13.99
2/15/2022,0.39,45,42,43.5,1408,1291.7,13.47
2/16/2022,0.39,34,35,34.5,1025,1158.3,12.47
2/17/2022,0.29,24,38,31,1031,1050,11.68
2/21/2022,0.37,32,35,33.5,313,794.3,10.16
2/22/2022,0.34,27,28,27.5,660,687.4,9.13
2/23/2022,0.43,17,23,20,663,635.7,8.65
2/24/2022,0.34,16,28,22,477,556.6,8.23
2/28/2022,0.47,24,48,36,297,432.4,7.07
3/1/2022,0.31,32,52,42,451,402.6,6.62
3/2/2022,0.35,40,59,49.5,404,365.6,6.4
3/3/2022,0.29,46,67,56.5,271,336.1,5.95
3/14/2022,0.49,32,52,42,121,165.6,3.42
3/15/2022,0.31,38,52,45,185,160.9,3.27
3/16/2022,0.22,41,49,45,171,156,3.16
3/21/2022,0.46,29,44,36.5,119,134,3.29
3/22/2022,0.29,33,50,41.5,125,125.4,3.23
3/23/2022,0.40,34,58,46,160,123.9,3.3
3/24/2022,0.33,42,67,54.5,145,127.3,3.06